Model,Accuracy,Precision,Recall,F1_macro,ROC_AUC,MCC,Train_time_s
Decision Tree,0.7987421383647799,0.8665740097289785,0.7749120750293084,0.7777807433756295,0.7942116755471351,0.6349035254789733,0.004
Random Forest,0.7987421383647799,0.8665740097289785,0.7749120750293084,0.7777807433756295,0.7949628576032182,0.6349035254789733,1.109
Gradient Boosting,0.7987421383647799,0.8665740097289785,0.7749120750293084,0.7777807433756295,0.7942116755471351,0.6349035254789733,0.917
XGBoost,0.7987421383647799,0.8665740097289785,0.7749120750293084,0.7777807433756295,0.7942116755471351,0.6349035254789733,0.746
LightGBM,0.7987421383647799,0.8665740097289785,0.7749120750293084,0.7777807433756295,0.7942172316274316,0.6349035254789733,0.991
Logistic Regression,0.7122641509433962,0.7090321950179453,0.7091708661373575,0.7090997352579089,0.7722407116227644,0.4182030381644621,2.881
